,day,rate
0,2020-10-14,1146.5
1,2020-10-13,1146
2,2020-10-12,1150
3,2020-10-08,1152.5
4,2020-10-07,1158.5
5,2020-10-06,1161.5
6,2020-10-05,1160.5
7,2020-09-29,1169
8,2020-09-28,1170
9,2020-09-25,1175
10,2020-09-24,1172.5
11,2020-09-23,1163
12,2020-09-22,1160
13,2020-09-21,1163.5
14,2020-09-18,1163.5
15,2020-09-17,1173
16,2020-09-16,1173.5
17,2020-09-15,1180
18,2020-09-14,1183
19,2020-09-11,1187
20,2020-09-10,1186.9
21,2020-09-09,1187.5
22,2020-09-08,1189
23,2020-09-07,1188
24,2020-09-04,1189.5
25,2020-09-03,1190
26,2020-09-02,1187
27,2020-09-01,1184.7
28,2020-08-31,1187
29,2020-08-28,1183
30,2020-08-27,1185.8
31,2020-08-26,1187
32,2020-08-25,1187
33,2020-08-24,1188
34,2020-08-21,1189.5
35,2020-08-20,1188.5
36,2020-08-19,1178
37,2020-08-18,1184.5
38,2020-08-14,1187.5
39,2020-08-13,1184.5
40,2020-08-12,1184.5
41,2020-08-11,1184.5
42,2020-08-10,1187.5
43,2020-08-07,1188.5
44,2020-08-06,1185.5
45,2020-08-05,1188
46,2020-08-04,1194.5
47,2020-08-03,1195.7
48,2020-07-31,1191
49,2020-07-30,1196
50,2020-11-25,1107
51,2020-11-24,1110
52,2020-11-23,1112
53,2020-11-20,1117
54,2020-11-19,1117
55,2020-11-18,1103.5
56,2020-11-17,1106
57,2020-11-16,1108.5
58,2020-11-13,1113.5
59,2020-11-12,1113.5
60,2020-11-11,1113
61,2020-11-10,1117
62,2020-11-09,1115
63,2020-11-06,1121.5
64,2020-11-05,1126.5
65,2020-11-04,1140
66,2020-11-03,1133
67,2020-11-02,1135
68,2020-10-30,1134.5
69,2020-10-29,1134.5
70,2020-10-28,1133.5
71,2020-10-27,1126.5
72,2020-10-26,1130
73,2020-10-23,1128.5
74,2020-10-22,1135
75,2020-10-21,1133.5
76,2020-10-20,1139
77,2020-10-19,1140
78,2020-10-16,1146
79,2020-10-15,1147.5
80,2020-12-09,1085
81,2020-12-08,1085.5
82,2020-12-07,1086.5
83,2020-12-04,1086
84,2020-12-03,1094
85,2020-12-02,1103
86,2020-12-01,1108.5
87,2020-11-30,1107.5
88,2020-11-27,1105
89,2020-11-26,1107.5
90,2021-01-08,1092
91,2021-01-07,1092
92,2021-01-06,1086.5
93,2021-01-05,1089
94,2021-01-04,1082.5
95,2020-12-31,1088
96,2020-12-30,1087.5
97,2020-12-29,1093.5
98,2020-12-28,1096.5
99,2020-12-24,1103.5
100,2020-12-23,1107.5
101,2020-12-22,1106.5
102,2020-12-21,1109
103,2020-12-18,1099.5
104,2020-12-17,1094
105,2020-12-16,1091
106,2020-12-15,1094.5
107,2020-12-14,1092.5
108,2020-12-11,1092
109,2020-12-10,1088.5
110,2021-05-13,1133.5
111,2021-05-12,1125.5
112,2021-05-11,1119
113,2021-05-10,1113.5
114,2021-05-07,1120.5
115,2021-05-06,1124
116,2021-05-04,1126
117,2021-05-03,1123
118,2021-04-30,1117.5
119,2021-04-29,1108.5
120,2021-04-28,1114
121,2021-04-27,1112
122,2021-04-26,1111
123,2021-04-23,1117.5
124,2021-04-22,1117.5
125,2021-04-21,1119
126,2021-04-20,1114.5
127,2021-04-19,1115
128,2021-04-16,1117
129,2021-04-15,1116.5
130,2021-04-14,1115.5
131,2021-04-13,1124.5
132,2021-04-12,1125
133,2021-04-09,1121
134,2021-04-08,1117.5
135,2021-04-07,1118.5
136,2021-04-06,1121.5
137,2021-04-05,1128.5
138,2021-04-02,1129
139,2021-04-01,1131.5
140,2021-03-31,1130
141,2021-03-30,1135
142,2021-03-29,1132.5
143,2021-03-26,1131.5
144,2021-03-25,1134.5
145,2021-03-24,1132.5
146,2021-03-23,1130.5
147,2021-03-22,1128
148,2021-03-19,1130
149,2021-03-18,1125
150,2021-03-17,1129.5
151,2021-03-16,1130.5
152,2021-03-15,1133.5
153,2021-03-12,1136.5
154,2021-03-11,1133
155,2021-03-10,1142
156,2021-03-09,1138.5
157,2021-03-08,1138
158,2021-03-05,1129
159,2021-03-04,1125
160,2021-03-03,1122.5
161,2021-03-02,1124.5
162,2021-02-26,1126
163,2021-02-25,1109
164,2021-02-24,1109
165,2021-02-23,1112
166,2021-02-22,1112
167,2021-02-19,1106.5
168,2021-02-18,1107
169,2021-02-17,1107.5
170,2021-02-16,1102
171,2021-02-15,1102.5
172,2021-02-10,1107
173,2021-02-09,1113.5
174,2021-02-08,1121
175,2021-02-05,1123.5
176,2021-02-04,1118.5
177,2021-02-03,1116
178,2021-02-02,1116
179,2021-02-01,1119.5
180,2021-01-29,1117.5
181,2021-01-28,1118
182,2021-01-27,1105
183,2021-01-26,1105.5
184,2021-01-25,1102.5
185,2021-01-22,1105
186,2021-01-21,1101
187,2021-01-20,1101.5
188,2021-01-19,1102.5
189,2021-01-18,1107
190,2021-01-15,1103.5
191,2021-01-14,1096
192,2021-01-13,1097
193,2021-01-12,1099
194,2021-01-11,1098
195,2021-05-14,1129.5
