,일자,종가,시가,고가,저가
0,2021-06-25,34433.84,34328.1,34501.02,34314.8
1,2021-06-24,34196.82,33933.91,34233.02,33933.91
2,2021-06-23,33874.24,33948.54,34009.4,33869.83
3,2021-06-22,33945.58,33872.56,34040.7,33751.06
4,2021-06-21,33876.97,33312.07,33908.09,33312.07
5,2021-06-18,33290.08,33622.7,33622.7,33271.93
6,2021-06-17,33823.45,34014.38,34091.79,33626.61
7,2021-06-16,34033.67,34308.48,34333.25,33917.11
8,2021-06-15,34299.33,34397.1,34420.38,34199.16
9,2021-06-14,34393.75,34472.52,34472.52,34211.54
10,2021-06-11,34479.6,34499.81,34618.09,34328.65
11,2021-06-10,34466.24,34502.51,34737.79,34447.25
12,2021-06-09,34447.14,34626.16,34654.67,34439.37
13,2021-06-08,34599.82,34645.84,34665.38,34452.94
14,2021-06-07,34630.24,34766.2,34820.91,34574.51
15,2021-06-04,34756.39,34618.69,34772.12,34618.69
16,2021-06-03,34577.04,34550.31,34667.41,34334.41
17,2021-06-02,34600.38,34614.62,34706.65,34545.96
18,2021-06-01,34575.31,34584.19,34849.32,34542.87
19,2021-05-28,34529.45,34558.5,34631.11,34520.09
20,2021-05-27,34464.64,34432.47,34608.82,34389.24
21,2021-05-26,34323.05,34336.34,34409.59,34271.44
22,2021-05-25,34312.46,34428.66,34511.35,34266.03
23,2021-05-24,34393.98,34253.87,34472.51,34253.87
24,2021-05-21,34207.84,34121.91,34415.48,34121.91
25,2021-05-20,34084.15,33906.3,34233.4,33872.41
26,2021-05-19,33896.04,33945.81,33945.81,33473.8
27,2021-05-18,34060.66,34351.18,34408.99,34044.1
28,2021-05-17,34327.79,34375.29,34383.84,34176.65
29,2021-05-14,34382.13,34050.86,34454.05,34050.86
30,2021-05-13,34021.45,33624.74,34181.77,33623.49
31,2021-05-12,33587.66,34206.4,34207.87,33555.22
32,2021-05-11,34269.16,34572.74,34572.74,34075.31
33,2021-05-10,34742.82,34785.27,35091.56,34741.57
34,2021-05-07,34777.76,34578.27,34811.39,34464.31
35,2021-05-06,34548.53,34245.11,34561.29,34185.06
36,2021-05-05,34230.34,34163.99,34331.2,34039.66
37,2021-05-04,34133.03,34080.2,34147.78,33765.68
38,2021-05-03,34113.23,33904.89,34221.06,33904.89
39,2021-04-30,33874.85,33988.75,33988.75,33784.96
40,2021-04-29,34060.36,33855.64,34087.21,33744.28
41,2021-04-28,33820.38,33860.46,33946.6,33805.56
42,2021-04-27,33984.93,33932.13,34043.98,33870.46
43,2021-04-26,33981.57,34044.23,34148.94,33941.37
44,2021-04-23,34043.49,33804.52,34157.57,33713.29
45,2021-04-22,33815.9,34109.88,34126.57,33717.19
46,2021-04-21,34137.31,33808.3,34160.34,33773.8
47,2021-04-20,33821.3,34034.18,34034.18,33687.01
48,2021-04-19,34077.63,34182.38,34182.38,33980.56
49,2021-04-16,34200.67,34058.16,34256.75,34058.16
50,2021-04-15,34035.99,33788.53,34068.73,33788.53
51,2021-04-14,33730.89,33668.95,33911.25,33668.95
52,2021-04-13,33677.27,33721.16,33741.64,33545.84
53,2021-04-12,33745.4,33775.06,33786.19,33665.54
54,2021-04-09,33800.6,33526.19,33810.87,33526.19
55,2021-04-08,33503.57,33469.89,33506.8,33342.64
56,2021-04-07,33446.26,33444.98,33521.76,33347.96
57,2021-04-06,33430.24,33500.02,33544.79,33380.43
58,2021-04-05,33527.19,33222.38,33617.95,33222.38
59,2021-04-01,33153.21,33054.58,33167.17,32985.35
60,2021-03-31,32981.55,33116.04,33173.77,32980.57
61,2021-03-30,33066.96,33127.88,33170.93,32988.92
62,2021-03-29,33171.37,33087.55,33259.0,32905.13
63,2021-03-26,33072.88,32681.07,33098.83,32681.07
64,2021-03-25,32619.48,32346.81,32672.69,32071.41
65,2021-03-24,32420.06,32470.88,32787.99,32418.15
66,2021-03-23,32423.15,32691.5,32753.77,32356.28
67,2021-03-22,32731.2,32601.82,32810.35,32512.53
68,2021-03-19,32627.97,32858.36,32858.36,32505.07
69,2021-03-18,32862.3,32928.16,33227.78,32831.25
