,날짜,종가
0,2021-06-25,74.05
1,2021-06-24,73.3
2,2021-06-23,73.08
3,2021-06-22,72.85
4,2021-06-21,73.12
5,2021-06-18,71.64
6,2021-06-17,71.04
7,2021-06-16,72.15
8,2021-06-15,72.12
9,2021-06-14,70.88
10,2021-06-11,70.91
11,2021-06-10,70.29
12,2021-06-09,69.96
13,2021-06-08,70.05
14,2021-06-07,69.23
15,2021-06-04,69.62
16,2021-06-03,68.81
17,2021-06-02,68.83
18,2021-06-01,67.72
19,2021-05-28,66.32
20,2021-05-27,66.85
21,2021-05-26,66.21
22,2021-05-25,66.07
23,2021-05-24,66.05
24,2021-05-21,63.58
25,2021-05-20,61.94
26,2021-05-19,63.35
27,2021-05-18,65.5
28,2021-05-17,66.27
29,2021-05-14,65.37
30,2021-05-13,63.82
31,2021-05-12,66.08
32,2021-05-11,65.28
33,2021-05-10,64.92
34,2021-05-07,64.9
