,날짜,종가
0,2021-06-25,1.96
1,2021-06-24,1.92
2,2021-06-23,1.89
3,2021-06-22,1.88
4,2021-06-21,1.9
5,2021-06-18,1.88
6,2021-06-17,1.9
7,2021-06-16,1.87
8,2021-06-15,1.89
9,2021-06-14,1.88
10,2021-06-11,1.87
11,2021-06-10,1.88
12,2021-06-09,1.86
13,2021-06-08,1.89
14,2021-06-07,1.91
15,2021-06-04,1.93
16,2021-06-03,1.91
17,2021-06-02,1.92
18,2021-06-01,1.92
19,2021-05-31,1.94
20,2021-05-28,1.89
21,2021-05-27,1.86
22,2021-05-26,1.9
23,2021-05-25,1.89
24,2021-05-24,1.87
25,2021-05-21,1.86
26,2021-05-20,1.86
27,2021-05-18,1.86
28,2021-05-17,1.87
29,2021-05-14,1.89
30,2021-05-13,1.89
31,2021-05-12,1.88
32,2021-05-11,1.89
33,2021-05-10,1.89
34,2021-05-07,1.9
