,date,cash,investment,total,daily_return,total_return,,10000000
0,2020-04-02,163764,9834766,9998530,-0.000147,-0.000147,,
1,2020-04-03,163764,9839538,10003302,0.00047727,0.0003302,,
2,2020-04-06,163764,10314590,10478354,0.0474895,0.0478354,,
3,2020-04-07,163764,10647290,10811054,0.0317512,0.0811054,,
4,2020-04-08,163764,10757986,10921750,0.0102391,0.092175,,
5,2020-04-09,163764,10940768,11104532,0.0167356,0.110453,,
6,2020-04-10,163764,10876032,11039796,-0.00582969,0.10398,,
7,2020-04-13,163764,11025314,11189078,0.0135222,0.118908,,
8,2020-04-14,163764,11633048,11796812,0.0543149,0.179681,,
9,2020-04-16,163764,12032444,12196208,0.0338563,0.219621,,
10,2020-04-17,163764,11733508,11897272,-0.0245106,0.189727,,
11,2020-04-20,163764,11589124,11752888,-0.0121359,0.175289,,
12,2020-04-21,163764,11330246,11494010,-0.0220268,0.149401,,
13,2020-04-22,163764,11495128,11658892,0.014345,0.165889,,
14,2020-04-23,163764,11694216,11857980,0.0170761,0.185798,,
15,2020-04-24,163764,11640448,11804212,-0.00453433,0.180421,,
16,2020-04-27,163764,11935850,12099614,0.0250251,0.209961,,
17,2020-04-28,163764,11868494,12032258,-0.00556679,0.203226,,
18,2020-04-29,163764,12180540,12344304,0.0259341,0.23443,,
19,2020-05-04,163764,12086632,12250396,-0.0076074,0.22504,,
20,2020-05-06,163764,12506128,12669892,0.0342435,0.266989,,
21,2020-05-07,163764,12692180,12855944,0.0146846,0.285594,,
22,2020-05-08,163764,13005002,13168766,0.0243329,0.316877,,
23,2020-05-11,163764,12896166,13059930,-0.00826471,0.305993,,
24,2020-05-12,163764,13033134,13196898,0.0104877,0.31969,,
25,2020-05-13,163764,13329194,13492958,0.0224341,0.349296,,
26,2020-05-14,163764,13373158,13536922,0.00325829,0.353692,,
27,2020-05-15,163764,13843570,14007334,0.0347503,0.400733,,
28,2020-05-18,163764,13845050,14008814,0.000105659,0.400881,,
29,2020-05-19,163764,13783330,13947094,-0.0044058,0.394709,,
30,2020-05-20,163764,13933944,14097708,0.010799,0.409771,,
31,2020-05-21,163764,13828758,13992522,-0.00746121,0.399252,,
32,2020-05-22,163764,13886640,14050404,0.00413664,0.40504,,
33,2020-05-25,163764,14150360,14314124,0.0187696,0.431412,,
34,2020-05-26,163764,14246892,14410656,0.00674383,0.441066,,
35,2020-05-27,163764,14017622,14181386,-0.0159098,0.418139,,
36,2020-05-28,163764,13711414,13875178,-0.0215922,0.387518,,
37,2020-05-29,163764,13608086,13771850,-0.00744697,0.377185,,
38,2020-06-01,163764,14149412,14313176,0.0393067,0.431318,,
39,2020-06-02,167981,14143080,14311061,-0.000147766,-0.000147766,,
40,2020-06-03,167981,14278830,14446811,0.00948567,0.0093365,,
41,2020-06-04,167981,14085060,14253041,-0.0134126,-0.00420137,,
42,2020-06-05,167981,14147825,14315806,0.00440362,0.000183747,,
43,2020-06-08,167981,14496325,14664306,0.0243437,0.0245319,,
