[2021-04-20 16:10] stock_info 스크랩 시작!
[2021-04-20 16:10] (KRX신규상장종목) 업데이트 체크 시작
[2021-04-20 16:10] (KRX신규상장종목) 업데이트 체크 종료
[2021-04-20 16:10] (KRX상장폐지종목) 업데이트 체크 시작
[2021-04-20 16:10] (KRX상장폐지종목) 업데이트 체크 종료
[2021-04-20 16:10] (0000/2297) 동화약품 스크랩 완료
[2021-04-20 16:10] (0001/2297) KR모터스 스크랩 완료
[2021-04-20 16:10] (0002/2297) 경방 스크랩 완료
[2021-04-20 16:10] (0003/2297) 메리츠화재 스크랩 완료
[2021-04-20 16:10] (0004/2297) 삼양홀딩스 스크랩 완료
[2021-04-20 16:10] (0005/2297) 하이트진로 스크랩 완료
[2021-04-20 16:10] (0006/2297) 유한양행 스크랩 완료
[2021-04-20 16:10] (0007/2297) CJ대한통운 스크랩 완료
[2021-04-20 16:10] (0008/2297) 하이트진로홀딩스 스크랩 완료
[2021-04-20 16:10] (0009/2297) 두산 스크랩 완료
[2021-04-20 16:10] (0010/2297) 성창기업지주 스크랩 완료
[2021-04-20 16:10] (0011/2297) DL 스크랩 완료
[2021-04-20 16:10] (0012/2297) 유유제약 스크랩 완료
[2021-04-20 16:10] (0013/2297) 일동홀딩스 스크랩 완료
[2021-04-20 16:10] (0014/2297) 한국앤컴퍼니 스크랩 완료
[2021-04-20 16:10] (0015/2297) 삼천당제약 스크랩 완료
[2021-04-20 16:10] (0016/2297) 기아 스크랩 완료
[2021-04-20 16:10] (0017/2297) 대유플러스 스크랩 완료
[2021-04-20 16:10] (0018/2297) 노루홀딩스 스크랩 완료
[2021-04-20 16:10] (0019/2297) 한화손해보험 스크랩 완료
[2021-04-20 16:10] (0020/2297) 삼화페인트공업 스크랩 완료
[2021-04-20 16:10] (0021/2297) 롯데손해보험 스크랩 완료
[2021-04-20 16:10] (0022/2297) 대원강업 스크랩 완료
[2021-04-20 16:10] (0023/2297) 중앙에너비스 스크랩 완료
[2021-04-20 16:10] (0024/2297) 조선내화 스크랩 완료
[2021-04-20 16:10] (0025/2297) 대동공업 스크랩 완료
[2021-04-20 16:10] (0026/2297) 가온전선 스크랩 완료
[2021-04-20 16:10] (0027/2297) 삼일제약 스크랩 완료
[2021-04-20 16:10] (0028/2297) 흥국화재 스크랩 완료
[2021-04-20 16:10] (0029/2297) CS홀딩스 스크랩 완료
[2021-04-20 16:10] (0030/2297) 동아쏘시오홀딩스 스크랩 완료
[2021-04-20 16:10] (0031/2297) 천일고속 스크랩 완료
[2021-04-20 16:10] (0032/2297) SK하이닉스 스크랩 완료
[2021-04-20 16:10] (0033/2297) 영풍 스크랩 완료
[2021-04-20 16:10] (0034/2297) LS네트웍스 스크랩 완료
[2021-04-20 16:10] (0035/2297) 유수홀딩스 스크랩 완료
[2021-04-20 16:10] (0036/2297) 현대건설 스크랩 완료
[2021-04-20 16:10] (0037/2297) 이화산업 스크랩 완료
[2021-04-20 16:10] (0038/2297) 삼성화재해상보험 스크랩 완료
[2021-04-20 16:10] (0039/2297) 화천기공 스크랩 완료
[2021-04-20 16:10] (0040/2297) 강남제비스코 스크랩 완료
[2021-04-20 16:10] (0041/2297) 한화 스크랩 완료
[2021-04-20 16:10] (0042/2297) 보해양조 스크랩 완료
[2021-04-20 16:10] (0043/2297) 유니온 스크랩 완료
[2021-04-20 16:10] (0044/2297) 전방 스크랩 완료
[2021-04-20 16:10] (0045/2297) 한국주철관공업 스크랩 완료
[2021-04-20 16:10] (0046/2297) DB하이텍 스크랩 완료
[2021-04-20 16:10] (0047/2297) 신라섬유 스크랩 완료
[2021-04-20 16:10] (0048/2297) 페이퍼코리아 스크랩 완료
[2021-04-20 16:10] (0049/2297) CJ 스크랩 완료
[2021-04-20 16:10] (0050/2297) JW중외제약 스크랩 완료
[2021-04-20 16:10] (0051/2297) 대한방직 스크랩 완료
[2021-04-20 16:10] (0052/2297) 만호제강 스크랩 완료
[2021-04-20 16:10] (0053/2297) LG상사 스크랩 완료
[2021-04-20 16:10] (0054/2297) 대한제분 스크랩 완료
[2021-04-20 16:10] (0055/2297) 국보 스크랩 완료
[2021-04-20 16:10] (0056/2297) 유진증권 스크랩 완료
[2021-04-20 16:10] (0057/2297) 금호전기 스크랩 완료
[2021-04-20 16:10] (0058/2297) 동국제강 스크랩 완료
[2021-04-20 16:10] (0059/2297) GS글로벌 스크랩 완료
[2021-04-20 16:10] (0060/2297) 남광토건 스크랩 완료
[2021-04-20 16:10] (0061/2297) 부국증권 스크랩 완료
[2021-04-20 16:10] (0062/2297) 상상인증권 스크랩 완료
[2021-04-20 16:10] (0063/2297) 백광산업 스크랩 완료
[2021-04-20 16:10] (0064/2297) 삼성제약 스크랩 완료
[2021-04-20 16:10] (0065/2297) SG글로벌 스크랩 완료
[2021-04-20 16:10] (0066/2297) KG케미칼 스크랩 완료
[2021-04-20 16:10] (0067/2297) 태원물산 스크랩 완료
[2021-04-20 16:10] (0068/2297) 세아베스틸 스크랩 완료
[2021-04-20 16:10] (0069/2297) 대한전선 스크랩 완료
[2021-04-20 16:10] (0070/2297) 현대해상 스크랩 완료
