[2021-05-28 16:10] macro_economics 스크랩 시작!
[2021-05-28 16:10] macro_economics 스크랩 완료!
[2021-05-28 16:10] momentum 분석 시작!
[2021-05-28 16:10] (전종목) 모멘텀 계산 시작
[2021-05-28 16:10] (1/동화약품) 모멘텀 계산 완료
[2021-05-28 16:10] (2/KR모터스) 모멘텀 계산 완료
[2021-05-28 16:10] (3/경방) 모멘텀 계산 완료
[2021-05-28 16:10] (4/메리츠화재) 모멘텀 계산 완료
[2021-05-28 16:10] (5/삼양홀딩스) 모멘텀 계산 완료
[2021-05-28 16:10] (6/하이트진로) 모멘텀 계산 완료
[2021-05-28 16:10] (7/유한양행) 모멘텀 계산 완료
[2021-05-28 16:10] (8/CJ대한통운) 모멘텀 계산 완료
[2021-05-28 16:10] (9/하이트진로홀딩스) 모멘텀 계산 완료
[2021-05-28 16:10] (10/두산) 모멘텀 계산 완료
[2021-05-28 16:10] (11/성창기업지주) 모멘텀 계산 완료
[2021-05-28 16:10] (12/DL) 모멘텀 계산 완료
[2021-05-28 16:10] (13/대림산업) 모멘텀 계산 완료
[2021-05-28 16:10] (14/유유제약) 모멘텀 계산 완료
[2021-05-28 16:10] (15/일동홀딩스) 모멘텀 계산 완료
[2021-05-28 16:10] (16/한국앤컴퍼니) 모멘텀 계산 완료
[2021-05-28 16:10] (17/한국테크놀로지그룹) 모멘텀 계산 완료
[2021-05-28 16:10] (18/삼천당제약) 모멘텀 계산 완료
[2021-05-28 16:10] (19/기아) 모멘텀 계산 완료
[2021-05-28 16:10] (20/기아자동차) 모멘텀 계산 완료
[2021-05-28 16:10] (21/대유플러스) 모멘텀 계산 완료
[2021-05-28 16:10] (22/노루홀딩스) 모멘텀 계산 완료
[2021-05-28 16:10] (23/한화손해보험) 모멘텀 계산 완료
[2021-05-28 16:10] (24/삼화페인트공업) 모멘텀 계산 완료
[2021-05-28 16:10] (25/롯데손해보험) 모멘텀 계산 완료
[2021-05-28 16:10] (26/대원강업) 모멘텀 계산 완료
[2021-05-28 16:10] (27/중앙에너비스) 모멘텀 계산 완료
[2021-05-28 16:10] (28/조선내화) 모멘텀 계산 완료
[2021-05-28 16:10] (29/대동) 모멘텀 계산 완료
[2021-05-28 16:10] (30/대동공업) 모멘텀 계산 완료
[2021-05-28 16:10] (31/가온전선) 모멘텀 계산 완료
[2021-05-28 16:10] (32/삼일제약) 모멘텀 계산 완료
[2021-05-28 16:10] (33/흥국화재) 모멘텀 계산 완료
[2021-05-28 16:10] (34/CS홀딩스) 모멘텀 계산 완료
[2021-05-28 16:10] (35/동아쏘시오홀딩스) 모멘텀 계산 완료
[2021-05-28 16:10] (36/천일고속) 모멘텀 계산 완료
[2021-05-28 16:10] (37/SK하이닉스) 모멘텀 계산 완료
[2021-05-28 16:10] (38/영풍) 모멘텀 계산 완료
[2021-05-28 16:10] (39/LS네트웍스) 모멘텀 계산 완료
[2021-05-28 16:10] (40/유수홀딩스) 모멘텀 계산 완료
[2021-05-28 16:10] (41/현대건설) 모멘텀 계산 완료
[2021-05-28 16:10] (42/이화산업) 모멘텀 계산 완료
[2021-05-28 16:10] (43/삼성화재해상보험) 모멘텀 계산 완료
[2021-05-28 16:10] (44/화천기공) 모멘텀 계산 완료
[2021-05-28 16:10] (45/강남제비스코) 모멘텀 계산 완료
[2021-05-28 16:10] (46/한화) 모멘텀 계산 완료
[2021-05-28 16:10] (47/보해양조) 모멘텀 계산 완료
[2021-05-28 16:10] (48/유니온) 모멘텀 계산 완료
[2021-05-28 16:10] (49/전방) 모멘텀 계산 완료
[2021-05-28 16:10] (50/한국주철관공업) 모멘텀 계산 완료
[2021-05-28 16:10] (51/DB하이텍) 모멘텀 계산 완료
[2021-05-28 16:10] (52/신라섬유) 모멘텀 계산 완료
[2021-05-28 16:10] (53/페이퍼코리아) 모멘텀 계산 완료
[2021-05-28 16:10] (54/CJ) 모멘텀 계산 완료
[2021-05-28 16:10] (55/JW중외제약) 모멘텀 계산 완료
[2021-05-28 16:10] (56/대한방직) 모멘텀 계산 완료
[2021-05-28 16:10] (57/만호제강) 모멘텀 계산 완료
[2021-05-28 16:10] (58/LG상사) 모멘텀 계산 완료
[2021-05-28 16:10] (59/대한제분) 모멘텀 계산 완료
[2021-05-28 16:10] (60/국보) 모멘텀 계산 완료
[2021-05-28 16:10] (61/유진증권) 모멘텀 계산 완료
[2021-05-28 16:10] (62/금호전기) 모멘텀 계산 완료
[2021-05-28 16:10] (63/동국제강) 모멘텀 계산 완료
[2021-05-28 16:10] (64/GS글로벌) 모멘텀 계산 완료
[2021-05-28 16:10] (65/남광토건) 모멘텀 계산 완료
[2021-05-28 16:10] (66/부국증권) 모멘텀 계산 완료
[2021-05-28 16:10] (67/상상인증권) 모멘텀 계산 완료
[2021-05-28 16:10] (68/백광산업) 모멘텀 계산 완료
[2021-05-28 16:10] (69/삼성제약) 모멘텀 계산 완료
[2021-05-28 16:10] (70/SG글로벌) 모멘텀 계산 완료
[2021-05-28 16:10] (71/SG충방) 모멘텀 계산 완료
[2021-05-28 16:10] (72/KG케미칼) 모멘텀 계산 완료
[2021-05-28 16:10] (73/태원물산) 모멘텀 계산 완료
[2021-05-28 16:10] (74/세아베스틸) 모멘텀 계산 완료
[2021-05-28 16:10] (75/대한전선) 모멘텀 계산 완료
[2021-05-28 16:10] (76/현대해상) 모멘텀 계산 완료
[2021-05-28 16:10] (77/BYC) 모멘텀 계산 완료
[2021-05-28 16:10] (78/삼부토건) 모멘텀 계산 완료
[2021-05-28 16:10] (79/현대차증권) 모멘텀 계산 완료
[2021-05-28 16:10] (80/SK증권) 모멘텀 계산 완료
[2021-05-28 16:10] (81/동양) 모멘텀 계산 완료
[2021-05-28 16:10] (82/디아이동일) 모멘텀 계산 완료
[2021-05-28 16:10] (83/안국약품) 모멘텀 계산 완료
[2021-05-28 16:10] (84/조비) 모멘텀 계산 완료
[2021-05-28 16:10] (85/제일연마) 모멘텀 계산 완료
[2021-05-28 16:10] (86/금양) 모멘텀 계산 완료
[2021-05-28 16:10] (87/케이비아이동국실업) 모멘텀 계산 완료
[2021-05-28 16:10] (88/종근당홀딩스) 모멘텀 계산 완료
[2021-05-28 16:10] (89/대상) 모멘텀 계산 완료
[2021-05-28 16:10] (90/신영증권) 모멘텀 계산 완료
[2021-05-28 16:10] (91/SK네트웍스) 모멘텀 계산 완료
[2021-05-28 16:10] (92/한양증권) 모멘텀 계산 완료
[2021-05-28 16:10] (93/신화실업) 모멘텀 계산 완료
[2021-05-28 16:10] (94/알루코) 모멘텀 계산 완료
[2021-05-28 16:10] (95/대한제당) 모멘텀 계산 완료
[2021-05-28 16:10] (96/오리온홀딩스) 모멘텀 계산 완료
[2021-05-28 16:10] (97/무림SP) 모멘텀 계산 완료
[2021-05-28 16:10] (98/삼화콘덴서공업) 모멘텀 계산 완료
[2021-05-28 16:10] (99/이화공영) 모멘텀 계산 완료
[2021-05-28 16:10] (100/DL건설) 모멘텀 계산 완료
[2021-05-28 16:10] (101/대림건설) 모멘텀 계산 완료
[2021-05-28 16:10] (102/KISCO홀딩스) 모멘텀 계산 완료
[2021-05-28 16:10] (103/코오롱) 모멘텀 계산 완료
[2021-05-28 16:10] (104/아세아) 모멘텀 계산 완료
[2021-05-28 16:10] (105/비비안) 모멘텀 계산 완료
[2021-05-28 16:10] (106/경농) 모멘텀 계산 완료
[2021-05-28 16:10] (107/고려산업) 모멘텀 계산 완료
[2021-05-28 16:10] (108/도화엔지니어링) 모멘텀 계산 완료
[2021-05-28 16:10] (109/삼양통상) 모멘텀 계산 완료
[2021-05-28 16:10] (110/한국수출포장공업) 모멘텀 계산 완료
[2021-05-28 16:10] (111/동성제약) 모멘텀 계산 완료
[2021-05-28 16:10] (112/한일철강) 모멘텀 계산 완료
[2021-05-28 16:10] (113/피에스텍) 모멘텀 계산 완료
[2021-05-28 16:10] (114/고려제강) 모멘텀 계산 완료
[2021-05-28 16:10] (115/롯데푸드) 모멘텀 계산 완료
