,day,종가
0,2021-01-29,7877.0
1,2021-01-28,7778.5
2,2021-01-27,7895.0
3,2021-01-26,7957.0
4,2021-01-25,7984.5
5,2021-01-22,7872.0
6,2021-01-21,8051.0
7,2021-01-20,8014.5
8,2021-01-19,7986.5
9,2021-01-18,7972.5
10,2021-01-15,7979.5
11,2021-01-14,8002.5
12,2021-01-13,7960.5
13,2021-01-12,7983.0
14,2021-01-11,7951.5
15,2021-01-08,8146.0
16,2021-01-07,8036.5
17,2021-01-06,8129.5
18,2021-01-05,7914.0
19,2021-01-04,7918.5
20,2020-12-31,7741.5
21,2020-12-30,7803.5
22,2020-12-29,7840.0
23,2020-12-24,7793.0
24,2020-12-23,7764.5
25,2020-12-22,7753.0
26,2020-12-21,7838.5
27,2020-12-18,7964.0
28,2020-12-17,7893.0
29,2020-12-16,7823.0
30,2020-12-15,7753.0
31,2020-12-14,7763.0
32,2020-12-11,7741.0
33,2020-12-10,7712.0
34,2020-12-09,7704.5
35,2020-12-08,7635.0
36,2020-12-07,7656.5
37,2020-12-04,7741.5
38,2020-12-03,7679.0
39,2020-12-02,7616.5
40,2020-12-01,7644.0
41,2020-11-30,7674.5
42,2020-11-27,7462.0
43,2020-11-25,7238.5
44,2020-11-24,7302.0
45,2020-11-23,7215.5
46,2020-11-20,7178.5
47,2020-11-19,7028.0
48,2020-11-18,7083.0
49,2020-11-17,7050.0
50,2020-11-16,7113.0
51,2020-11-13,6926.0
52,2020-11-12,6904.0
53,2020-11-11,6912.5
54,2020-11-10,6865.5
55,2020-11-09,7034.0
56,2020-11-06,6938.5
57,2020-11-05,6798.0
58,2020-11-04,6748.0
59,2020-11-03,6791.5
60,2020-11-02,6712.5
61,2020-10-30,6694.5
62,2020-10-29,6692.0
63,2021-02-18,8650.0
64,2021-02-17,8413.5
65,2021-02-16,8439.5
66,2021-02-15,8416.5
67,2021-02-12,8270.5
68,2021-02-11,8292.0
69,2021-02-10,8279.5
70,2021-02-09,8146.5
71,2021-02-08,8007.0
72,2021-02-05,7936.5
73,2021-02-04,7833.5
74,2021-02-03,7832.5
75,2021-02-02,7755.5
76,2021-02-01,7827.0
