,날짜,종가
0,2021-06-25,13.15
1,2021-06-24,13.23
2,2021-06-23,13.35
3,2021-06-22,13.15
4,2021-06-21,12.72
5,2021-06-18,12.61
6,2021-06-17,12.23
7,2021-06-16,12.36
8,2021-06-15,12.31
9,2021-06-14,12.51
10,2021-06-11,12.85
11,2021-06-10,12.93
12,2021-06-09,13.09
13,2021-06-08,13.14
14,2021-06-07,13.27
15,2021-06-04,13.31
16,2021-06-03,13.29
17,2021-06-02,13.31
18,2021-06-01,13.29
19,2021-05-28,13.3
20,2021-05-27,13.23
21,2021-05-26,13.19
22,2021-05-25,13.2
23,2021-05-24,13.15
24,2021-05-21,13.19
25,2021-05-20,13.28
26,2021-05-19,13.37
27,2021-05-18,13.35
