,일자,종가,시가,고가,저가
0,2021-06-25,4280.7,4274.45,4286.12,4271.16
1,2021-06-24,4266.49,4256.97,4271.28,4256.97
2,2021-06-23,4241.84,4249.27,4256.6,4241.43
3,2021-06-22,4246.44,4224.61,4255.84,4217.27
4,2021-06-21,4224.79,4173.4,4226.24,4173.4
5,2021-06-18,4166.45,4204.78,4204.78,4164.4
6,2021-06-17,4221.86,4220.37,4232.29,4196.05
7,2021-06-16,4223.7,4248.87,4251.89,4202.45
8,2021-06-15,4246.59,4255.28,4257.16,4238.35
9,2021-06-14,4255.15,4248.31,4255.59,4234.07
10,2021-06-11,4247.44,4242.9,4248.38,4232.25
11,2021-06-10,4239.18,4228.56,4249.74,4220.34
12,2021-06-09,4219.55,4232.99,4237.09,4218.74
13,2021-06-08,4227.26,4233.81,4236.74,4208.41
14,2021-06-07,4226.52,4229.34,4232.34,4215.66
15,2021-06-04,4229.89,4206.05,4233.45,4206.05
16,2021-06-03,4192.85,4191.43,4204.39,4167.93
17,2021-06-02,4208.12,4206.82,4217.37,4198.27
18,2021-06-01,4202.04,4216.52,4234.12,4197.59
19,2021-05-28,4204.11,4210.77,4218.36,4203.57
20,2021-05-27,4200.88,4201.94,4213.38,4197.78
21,2021-05-26,4195.99,4191.59,4202.61,4184.11
22,2021-05-25,4188.13,4205.94,4213.42,4182.52
23,2021-05-24,4197.05,4170.16,4209.52,4170.16
24,2021-05-21,4155.86,4168.61,4188.72,4151.72
25,2021-05-20,4159.12,4121.97,4172.8,4121.97
26,2021-05-19,4115.68,4098.45,4116.93,4061.41
27,2021-05-18,4127.83,4165.94,4169.15,4125.99
28,2021-05-17,4163.29,4169.92,4171.92,4142.69
29,2021-05-14,4173.85,4129.58,4183.13,4129.58
30,2021-05-13,4112.5,4074.99,4131.58,4074.99
31,2021-05-12,4063.04,4130.55,4134.73,4056.88
32,2021-05-11,4152.1,4150.34,4162.04,4111.53
33,2021-05-10,4188.43,4228.29,4236.39,4188.13
34,2021-05-07,4232.6,4210.34,4238.04,4201.64
35,2021-05-06,4201.62,4169.14,4202.7,4147.33
36,2021-05-05,4167.59,4177.06,4187.72,4160.94
37,2021-05-04,4164.66,4179.04,4179.04,4128.59
38,2021-05-03,4192.66,4191.98,4209.39,4188.03
39,2021-04-30,4181.17,4198.1,4198.1,4174.85
40,2021-04-29,4211.47,4206.14,4218.78,4176.81
41,2021-04-28,4183.18,4185.14,4201.53,4181.78
42,2021-04-27,4186.72,4188.25,4193.35,4176.22
43,2021-04-26,4187.62,4185.03,4194.19,4182.36
44,2021-04-23,4180.17,4138.78,4194.17,4138.78
45,2021-04-22,4134.98,4170.46,4179.57,4123.69
46,2021-04-21,4173.42,4128.42,4175.02,4126.35
47,2021-04-20,4134.94,4159.18,4159.18,4118.38
48,2021-04-19,4163.26,4179.8,4180.81,4150.47
49,2021-04-16,4185.47,4174.14,4191.31,4170.75
50,2021-04-15,4170.42,4139.76,4173.49,4139.76
51,2021-04-14,4124.66,4141.58,4151.69,4120.87
52,2021-04-13,4141.59,4130.1,4148.0,4124.43
53,2021-04-12,4127.99,4124.71,4131.76,4114.82
54,2021-04-09,4128.8,4096.11,4129.48,4095.51
55,2021-04-08,4097.17,4089.95,4098.19,4082.54
56,2021-04-07,4079.95,4074.29,4083.13,4068.31
57,2021-04-06,4073.94,4075.57,4086.23,4068.14
58,2021-04-05,4077.91,4034.44,4083.42,4034.44
59,2021-04-01,4019.87,3992.78,4020.63,3992.78
60,2021-03-31,3972.89,3967.25,3994.41,3966.98
61,2021-03-30,3958.55,3963.34,3968.01,3944.35
62,2021-03-29,3971.09,3969.31,3981.83,3943.25
63,2021-03-26,3974.54,3917.12,3978.19,3917.12
64,2021-03-25,3909.52,3879.34,3919.54,3853.5
65,2021-03-24,3889.14,3919.93,3942.08,3889.07
66,2021-03-23,3910.52,3937.6,3949.13,3901.57
67,2021-03-22,3940.59,3916.48,3955.31,3914.16
68,2021-03-19,3913.1,3913.14,3930.12,3886.75
69,2021-03-18,3915.46,3953.5,3969.62,3910.86
70,2021-03-17,3974.12,3949.57,3983.87,3935.74
71,2021-03-16,3962.71,3973.59,3981.04,3953.44
72,2021-03-15,3968.94,3942.96,3970.08,3923.54
73,2021-03-12,3943.34,3924.52,3944.99,3915.21
74,2021-03-11,3939.34,3915.54,3960.27,3915.54
75,2021-03-10,3898.81,3891.99,3917.35,3885.73
76,2021-03-09,3875.44,3851.93,3903.76,3851.93
77,2021-03-08,3821.35,3844.39,3881.06,3819.25
78,2021-03-05,3841.94,3793.58,3851.69,3730.19
79,2021-03-04,3768.47,3818.53,3843.67,3723.34
80,2021-03-03,3819.72,3863.99,3874.47,3818.86
81,2021-03-02,3870.29,3903.64,3906.41,3868.57
82,2021-03-01,3901.82,3842.51,3914.5,3842.51
83,2021-02-26,3811.15,3839.66,3861.08,3789.54
84,2021-02-25,3829.34,3915.8,3925.02,3814.04
85,2021-02-24,3925.43,3873.71,3928.65,3859.6
86,2021-02-23,3881.37,3857.07,3895.98,3805.59
87,2021-02-22,3876.5,3885.55,3902.92,3874.71
88,2021-02-19,3906.71,3921.16,3930.41,3903.07
89,2021-02-18,3913.97,3915.86,3921.98,3885.03
