,일자,종가,시가,고가,저가
0,2021-06-25,29066.18,29137.3,29174.17,28992.74
1,2021-06-24,28875.23,28811.82,28935.34,28758.37
2,2021-06-23,28874.89,28886.92,29007.83,28860.06
3,2021-06-22,28884.13,28513.07,28895.26,28494.46
4,2021-06-21,28010.93,28506.84,28506.84,27795.86
5,2021-06-18,28964.08,29136.74,29136.74,28957.98
6,2021-06-17,29018.33,29149.34,29197.68,28875.39
7,2021-06-16,29291.01,29306.14,29434.1,29263.72
8,2021-06-15,29441.3,29256.03,29480.85,29235.71
9,2021-06-14,29161.8,29153.11,29208.35,29026.27
10,2021-06-11,28948.73,29030.04,29080.89,28839.54
11,2021-06-10,28958.56,28799.74,29007.53,28799.74
12,2021-06-09,28860.8,28901.56,28932.03,28801.83
13,2021-06-08,28963.56,29046.03,29140.68,28897.64
14,2021-06-07,29019.24,29214.0,29241.2,28973.05
15,2021-06-04,28941.52,28901.42,28991.24,28764.68
16,2021-06-03,29058.11,28890.39,29157.16,28879.15
17,2021-06-02,28946.14,28730.81,29003.55,28565.83
18,2021-06-01,28814.34,28998.65,29075.47,28611.25
19,2021-05-31,28860.08,29019.45,29147.71,28791.6
20,2021-05-28,29149.41,28912.54,29194.11,28899.66
21,2021-05-27,28549.01,28543.32,28587.21,28360.56
22,2021-05-26,28642.19,28396.62,28710.83,28396.62
23,2021-05-25,28553.98,28516.99,28576.97,28443.74
24,2021-05-24,28364.61,28212.32,28584.18,28212.32
25,2021-05-21,28317.83,28269.61,28411.56,28193.03
26,2021-05-20,28098.25,27875.5,28176.87,27821.96
27,2021-05-19,28044.45,28031.22,28216.65,27842.98
28,2021-05-18,28406.84,27931.57,28481.17,27931.57
29,2021-05-17,27824.83,28310.46,28312.78,27632.53
30,2021-05-14,28084.47,27723.7,28139.96,27723.7
31,2021-05-13,27448.01,27929.01,27961.96,27385.03
32,2021-05-12,28147.51,28712.1,28831.03,27888.59
33,2021-05-11,28608.59,29238.56,29289.12,28535.36
34,2021-05-10,29518.34,29376.89,29685.41,29346.14
35,2021-05-07,29357.82,29330.45,29449.86,29237.36
36,2021-05-06,29331.37,29024.01,29430.22,28966.47
37,2021-04-30,28812.63,28996.66,29046.49,28760.27
38,2021-04-28,29053.97,28935.51,29139.7,28875.91
39,2021-04-27,28991.89,29174.53,29187.11,28990.19
40,2021-04-26,29126.23,29095.49,29241.28,28896.37
41,2021-04-23,29020.63,28939.12,29035.34,28770.62
42,2021-04-22,29188.17,28880.78,29192.39,28800.86
43,2021-04-21,28508.55,28660.36,28778.93,28419.84
44,2021-04-20,29100.38,29355.87,29361.28,29014.36
45,2021-04-19,29685.37,29688.32,29808.01,29530.84
46,2021-04-16,29683.37,29789.08,29789.08,29621.83
47,2021-04-15,29642.69,29573.9,29787.66,29558.55
48,2021-04-14,29620.99,29718.06,29722.4,29567.18
49,2021-04-13,29751.61,29605.69,29897.11,29573.79
50,2021-04-12,29538.73,29874.43,29876.04,29538.73
51,2021-04-09,29768.06,29865.53,30064.35,29768.06
52,2021-04-08,29708.98,29675.88,29744.79,29516.42
53,2021-04-07,29730.79,29743.48,29867.94,29523.55
54,2021-04-06,29696.63,30208.89,30208.89,29665.86
55,2021-04-05,30089.25,30084.61,30195.0,30024.25
56,2021-04-02,29854.0,29704.66,29869.67,29694.09
57,2021-04-01,29388.87,29441.91,29585.46,29318.82
58,2021-03-31,29178.8,29278.33,29348.99,29165.52
59,2021-03-30,29432.7,29365.04,29478.2,29283.89
60,2021-03-29,29384.52,29478.12,29578.37,29200.88
61,2021-03-26,29176.7,29068.52,29240.74,28953.22
62,2021-03-25,28729.88,28457.33,28821.83,28414.92
63,2021-03-24,28405.52,28765.55,28867.67,28379.06
64,2021-03-23,28995.92,29381.49,29496.83,28995.92
65,2021-03-22,29174.15,29444.1,29472.98,29107.63
66,2021-03-19,29792.05,29904.57,30049.77,29621.22
67,2021-03-18,30216.75,30148.48,30485.0,30041.5
68,2021-03-17,29914.33,29836.83,29984.97,29825.16
69,2021-03-16,29921.09,29770.39,30026.4,29755.47
70,2021-03-15,29766.97,29804.5,29884.73,29670.31
71,2021-03-12,29717.83,29287.74,29744.32,29210.4
72,2021-03-11,29211.64,29033.92,29255.42,28995.33
73,2021-03-10,29036.56,29118.28,29233.47,28960.09
74,2021-03-09,29027.94,28748.87,29053.56,28609.21
75,2021-03-08,28743.25,29208.19,29255.9,28644.26
76,2021-03-05,28864.32,28725.48,28867.83,28308.57
77,2021-03-04,28930.11,29198.42,29277.19,28711.04
78,2021-03-03,29559.1,29482.12,29604.37,29336.6
79,2021-03-02,29408.17,29939.75,29996.39,29314.82
80,2021-03-01,29663.5,29419.45,29686.39,29396.04
81,2021-02-26,28966.01,29753.73,29760.31,28966.01
82,2021-02-25,30168.27,30077.27,30213.28,30044.43
83,2021-02-24,29671.7,30020.11,30089.59,29671.7
84,2021-02-22,30156.03,30281.78,30458.13,30089.18
85,2021-02-19,30017.92,29970.59,30169.59,29847.33
86,2021-02-18,30236.09,30311.98,30560.49,30140.01
87,2021-02-17,30292.19,30366.82,30398.2,30191.01
88,2021-02-16,30467.75,30229.46,30714.52,30191.65
89,2021-02-15,30084.15,29662.41,30092.34,29662.41
90,2021-01-28,28197.42,28169.27,28360.48,27975.85
91,2021-01-27,28635.21,28665.34,28754.99,28542.0
92,2021-01-26,28546.18,28696.3,28740.71,28527.81
93,2021-01-25,28822.29,28698.89,28822.29,28566.85
94,2021-01-22,28631.45,28580.2,28698.18,28527.16
95,2021-01-21,28756.86,28710.41,28846.15,28677.61
96,2021-01-20,28523.26,28798.74,28801.19,28402.11
97,2021-01-19,28633.46,28405.49,28720.91,28373.34
98,2021-01-18,28242.21,28238.68,28349.97,28111.54
99,2021-01-15,28519.18,28777.47,28820.5,28477.03
100,2021-01-14,28698.26,28442.73,28979.53,28411.58
101,2021-01-13,28456.59,28140.1,28503.43,28133.59
102,2021-01-12,28164.34,28004.37,28287.37,27899.45
103,2021-01-08,28139.03,27720.14,28139.03,27667.75
104,2021-01-07,27490.13,27340.46,27624.73,27340.46
105,2021-01-06,27055.94,27102.85,27196.4,27002.18
106,2021-01-05,27158.63,27151.38,27279.78,27073.46
107,2021-01-04,27258.38,27575.57,27602.11,27042.32
108,2020-12-30,27444.17,27559.1,27572.57,27338.56
109,2020-12-29,27568.15,26936.38,27602.52,26921.14
110,2020-12-28,26854.03,26691.29,26854.03,26664.6
111,2020-12-25,26656.61,26708.1,26716.61,26638.28
112,2020-12-24,26668.35,26635.11,26764.53,26605.26
113,2020-12-23,26524.79,26580.43,26585.21,26414.74
114,2020-12-22,26436.39,26559.33,26639.99,26361.66
115,2020-12-21,26714.42,26834.1,26905.67,26533.63
116,2020-12-18,26763.39,26775.53,26824.29,26707.3
117,2020-12-17,26806.67,26744.5,26843.05,26676.28
118,2020-12-16,26757.4,26835.59,26874.98,26717.03
119,2020-12-15,26687.84,26683.11,26736.84,26605.54
120,2020-12-14,26732.44,26659.53,26870.47,26648.69
121,2020-12-11,26652.52,26732.85,26819.41,26553.01
122,2020-12-10,26756.24,26688.5,26852.77,26639.98
123,2020-12-09,26817.94,26526.34,26826.78,26520.6
124,2020-12-08,26467.08,26380.32,26523.3,26327.08
125,2020-12-07,26547.44,26894.25,26894.25,26500.32
126,2020-12-04,26751.24,26697.26,26799.83,26646.08
127,2020-12-03,26809.37,26740.3,26868.09,26719.23
128,2020-12-02,26800.98,26884.99,26889.9,26695.28
129,2020-12-01,26787.54,26624.2,26852.16,26618.39
130,2020-11-30,26433.62,26830.1,26834.2,26405.83
131,2020-11-27,26644.71,26530.28,26672.4,26419.05
132,2020-11-26,26537.31,26255.47,26560.03,26255.47
133,2020-11-25,26296.86,26468.52,26706.42,26258.35
134,2020-11-24,26165.59,25901.45,26261.78,25901.45
135,2020-11-20,25527.37,25486.83,25555.37,25425.59
136,2020-11-19,25634.34,25628.73,25650.86,25474.94
137,2020-11-18,25728.14,25860.55,25882.14,25656.7
138,2020-11-17,26014.62,26043.45,26057.3,25851.54
139,2020-11-16,25906.93,25652.69,25928.18,25640.29
140,2020-11-13,25385.87,25405.64,25456.18,25215.31
141,2020-11-12,25520.88,25439.35,25587.96,25316.6
142,2020-11-11,25349.6,25145.66,25401.3,25145.66
143,2020-11-10,24905.59,25087.3,25279.94,24833.18
144,2020-11-09,24839.84,24568.84,24962.8,24541.28
145,2020-11-06,24325.23,24076.22,24389.0,24039.16
146,2020-11-05,24105.28,23776.2,24112.42,23756.78
147,2020-11-04,23695.23,23619.58,23801.88,23505.78
148,2020-11-02,23295.48,23110.74,23370.91,23096.79
149,2020-10-30,22977.13,23320.71,23320.71,22948.47
150,2020-10-29,23331.94,23170.76,23374.1,23170.76
151,2020-10-28,23418.51,23372.61,23451.03,23334.23
152,2020-10-27,23485.8,23376.96,23485.8,23232.31
153,2020-10-26,23494.34,23520.78,23572.6,23475.52
154,2020-10-23,23516.59,23558.71,23587.9,23469.13
155,2020-10-22,23474.27,23525.59,23555.78,23436.17
156,2020-10-21,23639.46,23615.52,23702.3,23611.33
157,2020-10-20,23567.04,23587.87,23674.87,23518.29
158,2020-10-19,23671.13,23543.69,23707.16,23543.69
159,2020-10-16,23410.63,23478.4,23538.74,23382.67
160,2020-10-15,23507.23,23548.45,23581.16,23458.43
161,2020-10-14,23626.73,23545.66,23656.7,23518.81
162,2020-10-13,23601.78,23667.9,23667.9,23490.95
163,2020-10-12,23558.69,23588.74,23597.91,23501.26
164,2020-10-09,23619.69,23713.86,23725.58,23552.73
165,2020-10-08,23647.07,23506.34,23701.77,23477.73
166,2020-10-07,23422.82,23272.45,23432.73,23272.45
167,2020-10-06,23433.73,23420.07,23441.16,23331.4
