,일자,종가,시가,고가,저가
0,2021-06-25,3607.56,3567.38,3614.3,3564.52
1,2021-06-24,3566.65,3568.58,3570.49,3548.82
2,2021-06-23,3566.22,3559.4,3577.47,3549.85
3,2021-06-22,3557.41,3539.79,3560.2,3536.81
4,2021-06-21,3529.18,3515.5,3540.3,3504.01
5,2021-06-18,3525.1,3520.5,3535.62,3503.18
6,2021-06-17,3525.6,3508.32,3534.2,3507.35
7,2021-06-16,3518.33,3556.71,3561.09,3513.56
8,2021-06-15,3556.56,3587.47,3592.95,3547.19
9,2021-06-11,3589.75,3614.11,3614.4,3587.15
10,2021-06-10,3610.86,3587.53,3624.34,3584.13
11,2021-06-09,3591.4,3576.8,3598.71,3572.64
12,2021-06-08,3580.11,3598.75,3621.52,3563.25
13,2021-06-07,3599.54,3597.14,3600.38,3581.9
14,2021-06-04,3591.85,3565.47,3618.8,3561.89
15,2021-06-03,3584.21,3595.42,3618.51,3584.21
16,2021-06-02,3597.14,3626.33,3629.29,3584.6
17,2021-06-01,3624.71,3608.6,3626.07,3581.91
18,2021-05-31,3615.48,3600.07,3615.66,3580.65
19,2021-05-28,3600.78,3610.77,3622.18,3582.36
20,2021-05-27,3608.85,3585.73,3626.36,3579.26
21,2021-05-26,3593.36,3586.84,3603.49,3585.37
22,2021-05-25,3581.34,3502.54,3584.58,3502.44
23,2021-05-24,3497.28,3486.27,3498.3,3469.88
24,2021-05-21,3486.56,3510.84,3518.38,3479.67
25,2021-05-20,3506.94,3500.88,3517.74,3486.07
26,2021-05-19,3510.97,3521.11,3521.11,3503.82
27,2021-05-18,3529.01,3520.65,3529.01,3510.86
28,2021-05-17,3517.62,3490.41,3530.51,3490.14
29,2021-05-14,3490.38,3436.09,3490.64,3422.57
30,2021-05-13,3429.54,3432.14,3448.02,3418.39
31,2021-05-12,3462.75,3429.75,3466.37,3428.39
32,2021-05-11,3441.85,3406.6,3448.1,3384.7
33,2021-05-10,3427.99,3423.59,3429.74,3401.94
34,2021-05-07,3418.87,3446.41,3457.89,3416.78
35,2021-05-06,3441.28,3446.07,3471.24,3426.85
36,2021-04-30,3446.86,3468.3,3469.09,3426.9
37,2021-04-29,3474.9,3458.08,3478.23,3447.59
38,2021-04-28,3457.07,3432.16,3457.07,3423.33
39,2021-04-27,3442.61,3440.09,3443.85,3417.27
40,2021-04-26,3441.17,3484.11,3497.12,3438.57
41,2021-04-23,3474.17,3462.09,3482.36,3456.33
42,2021-04-22,3465.11,3482.83,3485.36,3456.32
43,2021-04-21,3472.93,3456.3,3481.25,3450.11
44,2021-04-20,3472.94,3467.15,3494.3,3463.46
45,2021-04-19,3477.55,3427.55,3479.01,3414.36
46,2021-04-16,3426.62,3407.19,3432.63,3394.13
47,2021-04-15,3398.99,3409.61,3409.61,3373.09
48,2021-04-14,3416.72,3397.02,3420.03,3392.98
49,2021-04-13,3396.47,3411.29,3425.4,3387.9
50,2021-04-12,3412.95,3445.97,3456.16,3403.9
51,2021-04-09,3450.68,3475.44,3475.45,3442.14
52,2021-04-08,3482.56,3467.49,3495.91,3459.33
53,2021-04-07,3479.63,3483.42,3483.42,3453.2
54,2021-04-06,3482.97,3491.63,3493.28,3471.76
55,2021-04-02,3484.39,3472.63,3487.59,3462.83
56,2021-04-01,3466.33,3444.81,3470.03,3438.83
57,2021-03-31,3441.91,3452.21,3452.21,3420.83
58,2021-03-30,3456.68,3432.53,3457.64,3423.32
59,2021-03-29,3435.3,3429.63,3449.83,3409.89
60,2021-03-26,3418.33,3373.32,3423.22,3373.32
61,2021-03-25,3363.59,3355.07,3382.23,3344.97
62,2021-03-24,3367.06,3394.13,3415.3,3362.19
63,2021-03-23,3411.51,3445.34,3445.42,3390.05
64,2021-03-22,3443.44,3406.12,3443.66,3404.23
65,2021-03-19,3404.66,3423.87,3439.52,3389.29
66,2021-03-18,3463.07,3449.64,3478.15,3449.38
67,2021-03-17,3445.55,3435.73,3454.06,3410.28
68,2021-03-16,3446.73,3424.65,3448.88,3406.18
69,2021-03-15,3419.95,3441.88,3457.49,3392.51
70,2021-03-12,3453.08,3447.2,3454.51,3417.24
71,2021-03-11,3436.83,3369.9,3436.83,3369.9
72,2021-03-10,3357.74,3389.84,3397.03,3354.82
73,2021-03-09,3359.29,3415.34,3429.15,3328.31
74,2021-03-08,3421.41,3524.98,3542.3,3421.22
75,2021-03-05,3501.99,3463.31,3523.57,3456.67
76,2021-03-04,3503.49,3546.64,3552.2,3487.38
77,2021-03-03,3576.91,3500.16,3577.62,3498.72
78,2021-03-02,3508.59,3566.85,3566.85,3485.36
79,2021-03-01,3551.4,3531.48,3552.57,3511.99
80,2021-02-26,3509.08,3514.57,3550.41,3500.7
81,2021-02-25,3585.05,3595.54,3608.56,3568.47
82,2021-02-24,3564.08,3638.94,3645.65,3531.59
83,2021-02-23,3636.36,3617.7,3672.15,3617.7
84,2021-02-22,3642.45,3707.19,3717.27,3642.45
85,2021-02-19,3696.17,3661.78,3699.65,3634.02
86,2021-02-18,3675.36,3721.09,3731.69,3663.66
87,2021-02-10,3655.09,3612.61,3662.77,3612.51
88,2021-02-09,3603.49,3539.77,3604.01,3528.68
89,2021-02-08,3532.45,3504.56,3542.21,3492.13
90,2021-01-22,3606.75,3616.54,3616.54,3585.03
91,2021-01-21,3621.26,3590.93,3636.24,3585.8
92,2021-01-20,3583.09,3564.12,3589.96,3556.44
93,2021-01-19,3566.38,3596.36,3603.15,3553.02
94,2021-01-18,3596.22,3554.8,3608.77,3544.26
95,2021-01-15,3566.38,3566.29,3589.27,3533.79
96,2021-01-14,3565.91,3584.93,3599.06,3559.6
97,2021-01-13,3598.65,3613.28,3622.35,3575.6
98,2021-01-12,3608.34,3518.01,3608.34,3517.47
99,2021-01-11,3531.5,3571.32,3597.7,3516.99
100,2021-01-08,3570.11,3577.69,3588.06,3544.89
101,2021-01-07,3576.21,3552.91,3576.21,3526.62
102,2021-01-06,3550.88,3530.91,3556.8,3513.13
103,2021-01-05,3528.68,3492.19,3528.68,3484.72
104,2021-01-04,3502.96,3474.68,3511.66,3457.21
105,2020-12-31,3473.07,3419.73,3474.92,3419.73
106,2020-12-30,3414.45,3375.01,3414.45,3374.42
107,2020-12-29,3379.04,3399.29,3407.09,3376.09
108,2020-12-28,3397.29,3396.36,3412.52,3383.65
109,2020-12-25,3396.56,3351.79,3397.01,3348.35
110,2020-12-24,3363.11,3382.19,3394.08,3354.02
111,2020-12-23,3382.32,3362.47,3394.21,3360.2
112,2020-12-22,3356.78,3410.97,3415.75,3353.86
113,2020-12-21,3420.57,3394.4,3423.61,3381.12
114,2020-12-18,3394.9,3400.49,3413.81,3382.75
115,2020-12-17,3404.87,3367.28,3406.16,3354.01
116,2020-12-16,3366.98,3371.26,3378.66,3359.17
117,2020-12-15,3367.23,3366.58,3373.56,3348.42
118,2020-12-14,3369.12,3349.53,3371.13,3338.63
119,2020-12-11,3347.19,3381.01,3383.18,3325.17
120,2020-12-10,3373.28,3365.73,3384.89,3357.75
121,2020-12-09,3371.96,3416.08,3422.54,3371.92
122,2020-12-08,3410.18,3417.69,3428.66,3403.03
123,2020-12-07,3416.6,3446.65,3449.58,3414.31
124,2020-12-04,3444.58,3436.73,3448.4,3417.05
125,2020-12-03,3442.14,3448.54,3452.16,3428.8
126,2020-12-02,3449.38,3453.52,3465.73,3435.87
127,2020-12-01,3451.94,3388.99,3457.64,3386.91
128,2020-11-30,3391.76,3418.16,3456.74,3391.76
129,2020-11-27,3408.31,3373.84,3408.31,3364.49
130,2020-11-26,3369.73,3360.06,3371.45,3344.28
131,2020-11-25,3362.33,3417.52,3423.49,3362.33
132,2020-11-24,3402.82,3407.41,3413.93,3396.24
