,날짜,종가
0,2021-06-25,1777.0
1,2021-06-24,1775.8
2,2021-06-23,1782.5
3,2021-06-22,1776.5
4,2021-06-21,1782.3
5,2021-06-18,1767.9
6,2021-06-17,1773.8
7,2021-06-16,1859.5
8,2021-06-15,1854.5
9,2021-06-14,1864.0
10,2021-06-11,1877.4
11,2021-06-10,1894.2
12,2021-06-09,1893.2
13,2021-06-08,1892.2
14,2021-06-07,1896.8
15,2021-06-04,1889.8
16,2021-06-03,1871.2
17,2021-06-02,1907.5
18,2021-06-01,1902.9
19,2021-05-28,1902.5
20,2021-05-27,1895.7
21,2021-05-26,1901.2
22,2021-05-25,1898.0
23,2021-05-24,1884.5
24,2021-05-21,1876.7
25,2021-05-20,1881.9
26,2021-05-19,1881.5
27,2021-05-18,1867.8
