,날짜,종가
0,2021-06-25,64648.61
1,2021-06-24,64854.9
2,2021-06-23,65134.29
3,2021-06-22,64879.44
4,2021-06-21,65034.9
5,2021-06-18,65102.33
6,2021-06-17,65635.17
7,2021-06-16,66844.77
8,2021-06-15,67003.31
9,2021-06-14,66804.19
10,2021-06-11,67803.43
11,2021-06-10,67479.61
12,2021-06-09,67646.35
13,2021-06-08,67857.23
14,2021-06-07,67379.42
15,2021-06-04,67025.15
16,2021-06-03,67816.09
17,2021-06-02,67851.82
18,2021-06-01,68005.56
19,2021-05-31,67935.64
20,2021-05-28,67837.5
21,2021-05-27,68127.94
22,2021-05-26,68481.74
23,2021-05-25,67924.27
24,2021-05-24,68039.69
25,2021-05-21,68060.62
26,2021-05-20,68134.71
27,2021-05-18,67824.09
28,2021-05-17,67627.61
29,2021-05-14,66546.92
