,날짜,종가
0,2021-06-24,0.53
1,2021-06-23,0.53
2,2021-06-22,0.56
3,2021-06-21,0.56
4,2021-06-18,0.51
5,2021-06-17,0.48
6,2021-06-16,0.47
7,2021-06-15,0.47
8,2021-06-14,0.47
9,2021-06-11,0.5
10,2021-06-10,0.49
11,2021-06-09,0.48
12,2021-06-08,0.45
13,2021-06-07,0.46
14,2021-06-04,0.48
15,2021-06-03,0.46
16,2021-06-02,0.47
17,2021-06-01,0.49
18,2021-05-31,0.51
19,2021-05-28,0.48
20,2021-05-27,0.43
21,2021-05-26,0.49
22,2021-05-25,0.47
23,2021-05-24,0.48
24,2021-05-21,0.5
25,2021-05-20,0.49
26,2021-05-18,0.48
27,2021-05-17,0.48
